LOCATION,brand,date,fuel_type,fuel_price,dedup_hash,upd_dt_utc
GEELONG,viva,2019-10-10,PULP98,157.19,903606877681442dec4ea15510fa2c3d,1570600815
GEELONG,bp,2019-10-09,ULP,131.46,5bf880f37f23f7052a69ca35977f099f,1570600815
GEELONG,viva,2019-10-10,ULP,131.64,82d03cf21d663cf68f00c4bca44e1bda,1570600815
GEELONG,bp,2019-10-10,DIESEL,133.27,34c3b0a277e28390e41270dcfe40873d,1570687216
GEELONG,viva,2019-10-11,DIESEL,133.85,a1e81aef80f14fb940b54202c0163fdc,1570687216
GEELONG,bp,2019-10-10,PULP95,140.4,59e5876d4f81443955c37f6b168536ac,1570687216
GEELONG,viva,2019-10-11,PULP95,141.55,76b464f5d46da6ead0838a9677c8df18,1570687216
GEELONG,viva,2019-10-11,PULP98,158.11,5db66bd4dbde31a29ef54edd37637f64,1570687216
GEELONG,bp,2019-10-10,ULP,132.4,b085c3456bb249f15fbb3f98afe1e4cb,1570687216
GEELONG,viva,2019-10-11,ULP,132.74,0162d260417035e7a66eb177e564d584,1570687216
GEELONG,bp,2019-10-11,DIESEL,133.04,fcd8488b2682a66c5ad2d6e45d0a1400,1570946414
GEELONG,viva,2019-10-12,DIESEL,133.64,02d0cb39f074b909566649849186fe57,1570946414
GEELONG,bp,2019-10-11,PULP95,141.42,e23c804d36dcaff90671bd73ceef51fe,1570946414
GEELONG,viva,2019-10-12,PULP95,142.98,4a225ef0934183eb82fab3467135bacd,1570946414
GEELONG,viva,2019-10-12,PULP98,159.52,1348f3be30892d894c7a5b7203a09e55,1570946414
GEELONG,bp,2019-10-11,ULP,133.42,ab3b71e13a7ea689dd32419d6b3e4609,1570946414
GEELONG,viva,2019-10-12,ULP,133.77,e325b4b2991cd78bca4042258c0d2e65,1570946414
GEELONG,bp,2019-10-12,DIESEL,133.3,dc0f2f7d3b1f306d316708bc6ec88018,1571032815
GEELONG,viva,2019-10-15,DIESEL,133.99,1d65f952218d197ade1d39eb10042024,1571032815
GEELONG,bp,2019-10-12,PULP95,141.94,5b76c86dc14cbb9e8cf57b69fb77383f,1571032815
GEELONG,viva,2019-10-15,PULP95,144.21,dc33b7d9f886b7dd230ceebbb9d66a47,1571032815
GEELONG,viva,2019-10-15,PULP98,160.77,c8abd74bfccf1891bff8457c67f36b77,1571032815
GEELONG,bp,2019-10-12,ULP,133.94,0fecaf1309b75f29a0e593dcc49d4e65,1571032815
GEELONG,viva,2019-10-15,ULP,134.39,1cd92c5e51927bb4e592c548b9998f45,1571032815
GEELONG,bp,2019-10-15,DIESEL,133.95,5c7c4a46808ad5ec668707a1a1d7f2eb,1571119215
GEELONG,viva,2019-10-16,DIESEL,134.67,9e1e81f01d81e3233755a07aa7951616,1571119215
GEELONG,bp,2019-10-15,PULP95,142.37,76be1651d90284fc6d6f410fa93ac769,1571119215
GEELONG,viva,2019-10-16,PULP95,145.02,ce065682c07beb0700e58b076863341a,1571119215
GEELONG,viva,2019-10-16,PULP98,161.58,d04ce603217c41f865fd93a03b7044c7,1571119215
GEELONG,bp,2019-10-15,ULP,134.37,90a3e19707c3f5a0ad77e93e07d2066d,1571119215
GEELONG,viva,2019-10-16,ULP,134.85,4a42614fc99925cee9d062b0c0449ca7,1571119215
GEELONG,bp,2019-10-16,DIESEL,134.3,a463c62c1a952cf65d5f4741862d12a4,1571205617
GEELONG,viva,2019-10-17,DIESEL,135.04,50bfb8d212756738e02c3da772393521,1571205617
GEELONG,bp,2019-10-16,PULP95,142.24,3134bf8cb2ccae6e31e4f6207dafb8d0,1571205617
